"Mexerica, Murcote, crua","57.59","240.97","0.88","14.86","0.13","0","3.07"
"Mexerica, Rio, crua","36.87","154.27","0.65","9.34","0.13","0","2.73"
"Morango, cru","30.15","126.14","0.89","6.82","0.31","0","1.72"
"Nêspera, crua","42.54","177.98","0.31","11.53","0","0","2.96"
"Pequi, cru","204.97","857.58","2.34","12.97","17.97","0","19.04"
"Pêra, Park, crua","60.59","253.5","0.24","16.07","0.23","0","2.98"
"Pêra, Williams, crua","53.31","223.05","0.57","14.02","0.11","0","3.01"
"Pêssego, Aurora, cru","36.33","151.99","0.83","9.32","0","0","1.42"
"Pêssego, enlatado, em calda","63.14","264.19","0.71","16.88","0","0","1.02"
"Pinha, crua","88.47","370.17","1.49","22.45","0.32","0","3.36"
"Pitanga, crua","41.42","173.28","0.93","10.24","0.17","0","3.24"
"Pitanga, polpa, congelada","19.11","79.94","0.29","4.76","0.12","0","0.74"
"Romã, crua","55.74","233.21","0.4","15.11","0","0","0.44"
"Tamarindo, cru","275.7","1153.51","3.21","72.53","0.46","0","6.45"
"Tangerina, Poncã, crua","37.83","158.22","0.85","9.61","0.07","0","0.94"
"Tangerina, Poncã, suco","36.11","150.98","0.52","8.8","0","0","0"
"Tucumã, cru","262.02","1096.27","2.09","26.47","19.08","0","12.65"
"Umbu, cru","37.02","154.88","0.84","9.4","0","0","1.98"
"Umbu, polpa, congelada","33.94","142.02","0.51","8.79","0.07","0","1.34"
"Uva, Itália, crua","52.87","221.16","0.75","13.57","0.2","0","0.92"
"Uva, Rubi, crua","49.06","205.27","0.61","12.7","0.16","0","0.93"
"Uva, suco concentrado, envasado","57.66","241.23","0","14.71","0","0","0.23"
"Azeite, de dendê","884","3698.66","0","0","100","0","0"
"Azeite, de oliva, extra virgem","884","3698.66","0","0","100","0","0"
"Manteiga, com sal","725.97","3037.45","0.41","0.06","82.36","200.55","0"
"Manteiga, sem sal","757.54","3169.55","0.4","0","86.04","213.95","0"
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","596.12","2494.16","0","0","67.43","0","0"
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","722.53","3023.05","0","0","81.73","0","0"
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)","594.45","2487.19","0","0","67.25","0","0"
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","593.14","2481.69","0","0","67.1","0","0"
"Óleo, de babaçu","884","3698.66","0","0","100","0","0"
"Óleo, de canola","884","3698.66","0","0","100","0","0"
"Óleo, de girassol","884","3698.66","0","0","100","0","0"
"Óleo, de milho","884","3698.66","0","0","100","0","0"
"Óleo, de pequi","884","3698.66","0","0","100","0","0"
"Óleo, de soja","884","3698.66","0","0","100","0","0"
"Abadejo, filé, congelado, assado","111.62","467","23.53","0","1.24","102.8","0"
"Abadejo, filé, congelado,cozido","91.1","381.18","19.35","0","0.94","86.86","0"
"Abadejo, filé, congelado, cru","59.11","247.33","13.08","0","0.36","31.41","0"
"Abadejo, filé, congelado, grelhado","129.64","542.43","27.61","0","1.3","135.85","0"
"Atum, conserva em óleo","165.91","694.17","26.19","0","6","52.94","0"
"Atum, fresco, cru","117.5","491.62","25.68","0","0.87","47.8","0"
"Bacalhau, salgado, cru","135.89","568.58","29.04","0","1.32","138.88","0"
"Bacalhau, salgado, refogado","139.66","584.34","23.98","1.22","3.61","111.97","0"
"Cação, posta, com farinha de trigo, frita","208.33","871.66","24.95","3.1","9.95","74.91","0.54"
"Cação, posta, cozida","116.01","485.4","25.59","0","0.75","83.25","0"
"Cação, posta, crua","83.33","348.67","17.85","0","0.79","36.13","0"
"Camarão, Rio Grande, grande, cozido","90.01","376.62","18.97","0","1","240.85","0"
"Camarão, Rio Grande, grande, cru","47.18","197.42","9.99","0","0.5","123.99","0"
"Camarão, Sete Barbas, sem cabeça, com casca, frito","231.25","967.53","18.39","2.88","15.62","283.14","0"
"Caranguejo, cozido","82.72","346.11","18.48","0","0.42","84.61","0"
"Corimba, cru","128.16","536.2","17.37","-0.03","5.99","40.23","0"
"Corimbatá, assado","261.45","1093.92","19.9","0","19.57","80.09","0"
"Corimbatá, cozido","238.7","998.7","20.13","0","16.93","74.62","0"
"Corvina de água doce, crua","101.01","422.62","18.92","0","2.24","73.11","0"
"Corvina do mar, crua","94","391.52","18.57","0","1.58","67.07","0"
"Corvina grande, assada","146.53","613.07","26.77","0","3.57","117.05","0"
"Corvina grande, cozida","100.08","418.73","23.44","0","2.56","122.56","0"
"Dourada de água doce, fresca","131.21","548.98","18.81","0","5.64","51.99","0"
"Lambari, congelado, cru","130.84","547.44","16.81","0","6.55","158.66","0"
"Lambari, congelado, frito","326.87","1367.62","28.43","0","22.78","246.32","0"
"Lambari, fresco, cru","151.6","634.29","15.65","0","9.4","144.25","0"
"Manjuba, com farinha de trigo, frita","343.55","1437.42","23.45","10.24","22.59","281.76","0.36"
"Manjuba, frita","349.33","1461.58","30.14","0","24.46","270.34","0"
